year,department,value,activity
2005,"San Andrés, Providencia y Santa Catalina (Archipiélago)",20.15,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Santander,673.57,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Sucre,94.4,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Tolima,298.79,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Valle del Cauca,1970.19,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Vaupés,0.65,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Vichada,2.16,"Suministro de electricidad, gas, vapor y aire acondicionado; distribución de agua; evacuación y tratamiento de aguas residuales, gestión de desechos y actividades de saneamiento ambiental"
2005,Amazonas,10.26,Construcción
2005,Antioquia,3764.41,Construcción
2005,Arauca,128.0,Construcción
2005,Atlántico,619.13,Construcción
2005,Bogotá D.C.,7967.98,Construcción
2005,Bolívar,702.86,Construcción
2005,Boyacá,640.0,Construcción
2005,Caldas,352.44,Construcción
2005,Caquetá,88.52,Construcción
2005,Casanare,331.66,Construcción
2005,Cauca,276.92,Construcción
2005,Cesar,422.67,Construcción
2005,Chocó,105.95,Construcción
2005,Córdoba,713.33,Construcción
2005,Cundinamarca,852.16,Construcción
2005,Guainía,34.95,Construcción
2005,Guaviare,43.11,Construcción
2005,Huila,861.43,Construcción
2005,La Guajira,249.07,Construcción
2005,Magdalena,647.91,Construcción
2005,Meta,680.52,Construcción
2005,Nariño,611.85,Construcción
2005,Norte de Santander,391.6,Construcción
2005,Putumayo,90.51,Construcción
2005,Quindío,262.67,Construcción
2005,Risaralda,1054.53,Construcción
2005,"San Andrés, Providencia y Santa Catalina (Archipiélago)",13.12,Construcción
2005,Santander,2011.71,Construcción
2005,Sucre,230.76,Construcción
2005,Tolima,558.99,Construcción
2005,Valle del Cauca,2200.06,Construcción
2005,Vaupés,13.02,Construcción
2005,Vichada,20.18,Construcción
2005,Amazonas,104.81,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Antioquia,11398.07,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Arauca,333.89,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Atlántico,4857.02,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Bogotá D.C.,23915.21,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Bolívar,3212.38,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Boyacá,2718.79,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Caldas,1520.32,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Caquetá,425.21,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Casanare,1337.1,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Cauca,1177.53,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Cesar,1173.06,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Chocó,307.96,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Córdoba,1441.57,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Cundinamarca,4635.46,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Guainía,35.6,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Guaviare,69.3,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Huila,1246.72,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,La Guajira,692.92,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Magdalena,1467.24,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Meta,2004.49,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Nariño,1600.61,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Norte de Santander,1610.09,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Putumayo,270.53,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Quindío,928.44,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Risaralda,1672.32,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,"San Andrés, Providencia y Santa Catalina (Archipiélago)",473.48,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Santander,4256.57,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Sucre,747.11,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Tolima,2046.63,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Valle del Cauca,8824.2,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Vaupés,28.26,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Vichada,38.42,Comercio al por mayor y al por menor; reparación de vehículos automotores y motocicletas; transporte y almacenamiento; alojamiento y servicios de comida
2005,Amazonas,2.23,Información y comunicaciones
2005,Antioquia,1780.47,Información y comunicaciones
2005,Arauca,15.83,Información y comunicaciones
2005,Atlántico,511.36,Información y comunicaciones
2005,Bogotá D.C.,5364.46,Información y comunicaciones
2005,Bolívar,293.86,Información y comunicaciones
2005,Boyacá,198.05,Información y comunicaciones
2005,Caldas,281.67,Información y comunicaciones
2005,Caquetá,30.86,Información y comunicaciones
2005,Casanare,40.06,Información y comunicaciones
2005,Cauca,83.27,Información y comunicaciones
2005,Cesar,105.58,Información y comunicaciones
2005,Chocó,14.93,Información y comunicaciones
2005,Córdoba,202.3,Información y comunicaciones
2005,Cundinamarca,573.77,Información y comunicaciones
2005,Guainía,0.22,Información y comunicaciones
2005,Guaviare,3.09,Información y comunicaciones
2005,Huila,160.6,Información y comunicaciones
2005,La Guajira,25.05,Información y comunicaciones
2005,Magdalena,123.9,Información y comunicaciones
2005,Meta,139.2,Información y comunicaciones
2005,Nariño,117.43,Información y comunicaciones
2005,Norte de Santander,123.19,Información y comunicaciones
2005,Putumayo,6.09,Información y comunicaciones
2005,Quindío,98.11,Información y comunicaciones
2005,Risaralda,253.4,Información y comunicaciones
2005,"San Andrés, Providencia y Santa Catalina (Archipiélago)",9.31,Información y comunicaciones
2005,Santander,694.58,Información y comunicaciones
2005,Sucre,74.43,Información y comunicaciones
2005,Tolima,256.34,Información y comunicaciones
2005,Valle del Cauca,1224.02,Información y comunicaciones
2005,Vaupés,0.08,Información y comunicaciones
2005,Vichada,2.21,Información y comunicaciones
2005,Amazonas,4.94,Actividades financieras y de seguros
2005,Antioquia,2481.2,Actividades financieras y de seguros
2005,Arauca,29.98,Actividades financieras y de seguros
2005,Atlántico,663.27,Actividades financieras y de seguros
2005,Bogotá D.C.,7164.86,Actividades financieras y de seguros
2005,Bolívar,279.47,Actividades financieras y de seguros
2005,Boyacá,199.43,Actividades financieras y de seguros
2005,Caldas,199.18,Actividades financieras y de seguros
2005,Caquetá,40.16,Actividades financieras y de seguros
2005,Casanare,74.32,Actividades financieras y de seguros
2005,Cauca,103.98,Actividades financieras y de seguros
2005,Cesar,110.1,Actividades financieras y de seguros
2005,Chocó,29.64,Actividades financieras y de seguros
2005,Córdoba,130.77,Actividades financieras y de seguros
2005,Cundinamarca,260.3,Actividades financieras y de seguros
2005,Guainía,1.95,Actividades financieras y de seguros
2005,Guaviare,6.65,Actividades financieras y de seguros
2005,Huila,164.16,Actividades financieras y de seguros
2005,La Guajira,54.23,Actividades financieras y de seguros
2005,Magdalena,117.3,Actividades financieras y de seguros
2005,Meta,156.3,Actividades financieras y de seguros
2005,Nariño,158.46,Actividades financieras y de seguros
2005,Norte de Santander,181.78,Actividades financieras y de seguros
2005,Putumayo,27.77,Actividades financieras y de seguros
2005,Quindío,98.88,Actividades financieras y de seguros
2005,Risaralda,217.75,Actividades financieras y de seguros
2005,"San Andrés, Providencia y Santa Catalina (Archipiélago)",14.95,Actividades financieras y de seguros
2005,Santander,530.14,Actividades financieras y de seguros
2005,Sucre,64.13,Actividades financieras y de seguros
2005,Tolima,221.7,Actividades financieras y de seguros
2005,Valle del Cauca,1459.73,Actividades financieras y de seguros
2005,Vaupés,0.87,Actividades financieras y de seguros
2005,Vichada,6.33,Actividades financieras y de seguros
2005,Amazonas,12.97,Actividades inmobiliarias
2005,Antioquia,7236.95,Actividades inmobiliarias
2005,Arauca,103.21,Actividades inmobiliarias
2005,Atlántico,1918.99,Actividades inmobiliarias
2005,Bogotá D.C.,19553.12,Actividades inmobiliarias
2005,Bolívar,1408.21,Actividades inmobiliarias
2005,Boyacá,838.75,Actividades inmobiliarias
2005,Caldas,634.09,Actividades inmobiliarias
2005,Caquetá,168.72,Actividades inmobiliarias
2005,Casanare,230.62,Actividades inmobiliarias
2005,Cauca,483.86,Actividades inmobiliarias
2005,Cesar,533.05,Actividades inmobiliarias
2005,Chocó,49.82,Actividades inmobiliarias
2005,Córdoba,349.49,Actividades inmobiliarias
2005,Cundinamarca,1405.26,Actividades inmobiliarias
2005,Guainía,8.52,Actividades inmobiliarias
2005,Guaviare,24.64,Actividades inmobiliarias
2005,Huila,511.59,Actividades inmobiliarias
2005,La Guajira,255.79,Actividades inmobiliarias
2005,Magdalena,505.38,Actividades inmobiliarias
2005,Meta,570.85,Actividades inmobiliarias
2005,Nariño,744.01,Actividades inmobiliarias
2005,Norte de Santander,795.3,Actividades inmobiliarias
2005,Putumayo,103.62,Actividades inmobiliarias
2005,Quindío,498.41,Actividades inmobiliarias
2005,Risaralda,613.39,Actividades inmobiliarias
2005,"San Andrés, Providencia y Santa Catalina (Archipiélago)",34.62,Actividades inmobiliarias
2005,Santander,2654.73,Actividades inmobiliarias
2005,Sucre,278.05,Actividades inmobiliarias
2005,Tolima,721.18,Actividades inmobiliarias
2005,Valle del Cauca,7389.51,Actividades inmobiliarias
2005,Vaupés,8.62,Actividades inmobiliarias
2005,Vichada,17.52,Actividades inmobiliarias
2005,Amazonas,2.35,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Antioquia,6037.12,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Arauca,13.33,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Atlántico,1749.54,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Bogotá D.C.,12203.57,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Bolívar,1372.94,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Boyacá,538.9,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Caldas,962.79,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Caquetá,118.4,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Casanare,84.72,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Cauca,719.18,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Cesar,324.27,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Chocó,1.18,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Córdoba,771.8,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Cundinamarca,1681.89,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Guainía,1.0,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Guaviare,2.35,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Huila,358.94,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,La Guajira,11.77,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Magdalena,264.1,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Meta,463.42,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Nariño,291.2,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Norte de Santander,288.87,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Putumayo,22.32,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Quindío,181.61,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Risaralda,774.07,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,"San Andrés, Providencia y Santa Catalina (Archipiélago)",21.85,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Santander,1453.13,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Sucre,102.72,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Tolima,579.39,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Valle del Cauca,4859.9,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Vaupés,5.88,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Vichada,1.18,"Actividades profesionales, científicas y técnicas; actividades de servicios administrativos y de apoyo"
2005,Amazonas,130.28,Administración pública y defensa; planes de seguridad social de afiliación obligatoria; educación; actividades de atención de la salud humana y de servicios sociales
2005,Antioquia,8055.06,Administración pública y defensa; planes de seguridad social de afiliación obligatoria; educación; actividades de atención de la salud humana y de servicios sociales
2005,Arauca,430.35,Administración pública y defensa; planes de seguridad social de afiliación obligatoria; educación; actividades de atención de la salud humana y de servicios sociales
2005,Atlántico,3213.83,Administración pública y defensa; planes de seguridad social de afiliación obligatoria; educación; actividades de atención de la salud humana y de servicios sociales
2005,Bogotá D.C.,19823.16,Administración pública y defensa; planes de seguridad social de afiliación obligatoria; educación; actividades de atención de la salud humana y de servicios sociales
2005,Bolívar,3213.09,Administración pública y defensa; planes de seguridad social de afiliación obligatoria; educación; actividades de atención de la salud humana y de servicios sociales
2005,Boyacá,1872.93,Administración pública y defensa; planes de seguridad social de afiliación obligatoria; educación; actividades de atención de la salud humana y de servicios sociales
2005,Caldas,1396.31,Administración pública y defensa; planes de seguridad social de afiliación obligatoria; educación; actividades de atención de la salud humana y de servicios sociales
2005,Caquetá,610.2,Administración pública y defensa; planes de seguridad social de afiliación obligatoria; educación; actividades de atención de la salud humana y de servicios sociales
2005,Casanare,566.24,Administración pública y defensa; planes de seguridad social de afiliación obligatoria; educación; actividades de atención de la salud humana y de servicios sociales
2005,Cauca,1572.13,Administración pública y defensa; planes de seguridad social de afiliación obligatoria; educación; actividades de atención de la salud humana y de servicios sociales
